"rfmo","lon","lat","year","effort_set","effort_day","catch_tot","catch_skj","catch_alb","catch_bet","catch_yft"
"iotc",130.5,-46.5,2023,NA,3,14,14,NA,NA,NA
"iotc",79.5,-44.5,2016,NA,NA,0.5,0.5,NA,NA,NA
"iotc",147.5,-43.5,1999,NA,NA,223.193,223.193,NA,NA,NA
"iotc",148.5,-43.5,1999,NA,NA,19,19,NA,NA,NA
"iotc",148.5,-42.5,1999,NA,NA,124,124,NA,NA,NA
"iotc",148.5,-41.5,1999,NA,NA,1.3,1.3,NA,NA,NA
"wcpfc",171.5,-41.5,2012,27,27,1150.6,1150.6,0,0,0
"wcpfc",171.5,-41.5,2014,21,21,1375.5,1375.5,0,0,0
"iotc",148.5,-40.5,1997,NA,NA,415,415,NA,NA,NA
"iotc",148.5,-40.5,1999,NA,NA,6.2,6.2,NA,NA,NA
"wcpfc",148.5,-40.5,2000,18,13.54,287,287,0,0,0
"iotc",149.5,-40.5,1997,NA,NA,60,60,NA,NA,NA
"wcpfc",172.5,-40.5,2014,12,12,836,836,0,0,0
"wcpfc",172.5,-40.5,2015,4.17,4.17,101.166,101.166,0,0,0
"wcpfc",177.5,-40.5,1999,7.16,7.16,356.825,356.825,0,0,0
"iotc",140.5,-39.5,1997,NA,NA,15,15,NA,NA,NA
"iotc",148.5,-39.5,1997,NA,NA,149,149,NA,NA,NA
"iotc",148.5,-39.5,1998,NA,NA,49,49,NA,NA,NA
"wcpfc",148.5,-39.5,2000,27,19.67,307.5,307.5,0,0,0
"iotc",149.5,-39.5,1999,NA,NA,63,63,NA,NA,NA
"iotc",149.5,-39.5,2001,NA,NA,40,40,NA,NA,NA
"wcpfc",172.5,-39.5,2005,14.03,14.03,656.567,656.567,0,0,0
"wcpfc",172.5,-39.5,2011,22,22,1176.1,1176.1,0,0,0
"wcpfc",177.5,-39.5,1983,11,7.01,103,103,0,0,0
"wcpfc",177.5,-39.5,1999,8.18,8.18,302.637,302.637,0,0,0
"wcpfc",178.5,-39.5,1996,22.01,22.01,569.997,569.997,0,0,0
"wcpfc",178.5,-39.5,1999,13.29,13.29,257.65,257.65,0,0,0
"iccat",-55.5,-38.5,2009,1,0,8,3,0,0,5
"iccat",-55.5,-38.5,2010,23,0,114.05,0.102,113.948,0,0
"iccat",-36.5,-38.5,1996,0,30,6.758,0,6.758,0,0
"iotc",147.5,-38.5,1998,NA,NA,5,5,NA,NA,NA
"iotc",147.5,-38.5,1999,NA,NA,34,34,NA,NA,NA
"iotc",148.5,-38.5,1994,NA,NA,0.5,0.5,NA,NA,NA
"iotc",148.5,-38.5,1998,NA,NA,117,117,NA,NA,NA
"iotc",148.5,-38.5,1999,NA,NA,1755,1755,NA,NA,NA
"wcpfc",148.5,-38.5,2000,22,16.17,163.9,163.9,0,0,0
"iotc",148.5,-38.5,2008,NA,NA,15.2,15.2,NA,NA,NA
"wcpfc",149.5,-38.5,1992,12,9.85,0.3,0,0,0,0.3
"wcpfc",149.5,-38.5,1997,9.93,6.95,136.636,136.636,0,0,0
"iotc",149.5,-38.5,1998,NA,NA,12,12,NA,NA,NA
"iotc",149.5,-38.5,1999,NA,NA,160.589,160.589,NA,NA,NA
"wcpfc",149.5,-38.5,2000,11,6.97,231,231,0,0,0
"wcpfc",149.5,-38.5,2001,8.25,5.5,180.033,180.033,0,0,0
"wcpfc",173.5,-38.5,1990,19.01,27.41,434.795,434.795,0,0,0
"wcpfc",174.5,-38.5,2003,41.97,41.97,1260.699,1260.699,0,0,0
"wcpfc",174.5,-38.5,2004,50.53,50.53,3123.129,3123.129,0,0,0
"wcpfc",174.5,-38.5,2005,59.14,59.14,2757.062,2757.062,0,0,0
"wcpfc",174.5,-38.5,2006,72,72,3018.1,3018.1,0,0,0
"wcpfc",174.5,-38.5,2007,40.92,40.92,1624.146,1624.146,0,0,0
"wcpfc",174.5,-38.5,2008,29,29,1247.9,1247.9,0,0,0
"wcpfc",174.5,-38.5,2009,18.1,18.1,520.733,520.733,0,0,0
"wcpfc",174.5,-38.5,2011,84,84,4066.8,4066.8,0,0,0
"wcpfc",174.5,-38.5,2012,41,41,1869,1868.8,0,0,0.2
"wcpfc",174.5,-38.5,2013,43,43,3193.4,3193.4,0,0,0
"wcpfc",174.5,-38.5,2014,10,10,330.6,330.6,0,0,0
"wcpfc",174.5,-38.5,2015,23.99,23.99,817.673,817.673,0,0,0
"wcpfc",174.5,-38.5,2017,15,15,711,711,0,0,0
"wcpfc",178.5,-38.5,1996,4.4,4.4,88.03,88.03,0,0,0
"wcpfc",179.5,-38.5,1995,9.55,9.55,271.685,271.685,0,0,0
"wcpfc",179.5,-38.5,1996,15.4,15.4,564.495,561.194,0,0,3.301
"wcpfc",179.5,-38.5,2004,16.39,16.39,245.579,245.579,0,0,0
"iccat",-55.5,-37.5,2010,3,0,12.517,0,12.517,0,0
"iccat",-54.5,-37.5,2010,0,0,3.093,0,3.093,0,0
"iccat",-51.5,-37.5,2023,3,0,34,32,0,0,2
"iccat",1.5,-37.5,1996,0,30,4.016,0,4.016,0,0
"wcpfc",150.5,-37.5,1993,27,32.3,305.55,305.55,0,0,0
"wcpfc",150.5,-37.5,1994,65.82,48.11,1145.06,1145.06,0,0,0
"wcpfc",150.5,-37.5,1997,75.7,47.72,1221.537,1221.537,0,0,0
"wcpfc",150.5,-37.5,1999,24,15.21,282,282,0,0,0
"wcpfc",150.5,-37.5,2000,52,28.62,788,788,0,0,0
"wcpfc",150.5,-37.5,2001,9.62,6.41,83.145,83.145,0,0,0
"wcpfc",173.5,-37.5,1990,19.01,29.84,282.192,282.192,0,0,0
"wcpfc",174.5,-37.5,1990,9,14.59,57.039,57.039,0,0,0
"wcpfc",174.5,-37.5,1994,17.76,17.76,523.727,523.727,0,0,0
"wcpfc",174.5,-37.5,2004,21.85,21.85,778.118,778.118,0,0,0
"wcpfc",174.5,-37.5,2005,22.05,22.05,757.292,757.292,0,0,0
"wcpfc",174.5,-37.5,2006,13,13,773.5,773.5,0,0,0
"wcpfc",174.5,-37.5,2010,12,12,1205.8,1205.8,0,0,0
"wcpfc",174.5,-37.5,2012,17,17,813.2,813.2,0,0,0
"wcpfc",174.5,-37.5,2013,5,5,51.7,51.7,0,0,0
"wcpfc",174.5,-37.5,2018,9.18,9.18,234.474,234.474,0,0,0
"wcpfc",176.5,-37.5,1983,28,19.16,264,264,0,0,0
"wcpfc",176.5,-37.5,1984,108,57.58,1521,1521,0,0,0
"wcpfc",176.5,-37.5,1985,74,34.95,844,844,0,0,0
"wcpfc",176.5,-37.5,1986,149,76.37,2112,2112,0,0,0
"wcpfc",176.5,-37.5,1987,102,55.49,846,845,0,0,1
"wcpfc",176.5,-37.5,1988,153.31,81.64,941.53,941.53,0,0,0
"wcpfc",176.5,-37.5,1999,11.25,11.25,422.259,422.259,0,0,0
"wcpfc",176.5,-37.5,2000,6.24,6.24,253.616,253.616,0,0,0
"wcpfc",176.5,-37.5,2001,3.27,3.27,17.441,17.441,0,0,0
"wcpfc",176.5,-37.5,2004,10.93,10.93,214.437,214.437,0,0,0
"wcpfc",176.5,-37.5,2005,4.01,4.01,33.074,33.074,0,0,0
"wcpfc",176.5,-37.5,2008,5,5,98,98,0,0,0
"wcpfc",176.5,-37.5,2011,9,9,152,152,0,0,0
