"rfmo","flag","lon","lat","year","effort_t_hooks","catch_tot_mt","catch_tot_n","catch_bet_mt","catch_bet_n","catch_alb_mt","catch_alb_n","catch_yft_mt","catch_yft_n"
"iccat","BRA",-32.5,-57.5,2015,1800,0,32,0,30,0,1,0,1
"iccat","TAI",-22.5,-57.5,1994,35820,4.2,203,0,0,4.2,203,0,0
"iccat","TAI",-17.5,-57.5,1994,107460,15.1,726,0.5,18,14.2,694,0.4,14
"iccat","TAI",-12.5,-57.5,1994,179100,23.3,1129,0,0,22.6,1096,0.7,33
"iccat","TAI",-7.5,-57.5,1994,143280,17.6,845,0.6,22,16.5,799,0.5,24
"iccat","TAI",-2.5,-57.5,1994,107460,12.4,590,0,0,12,576,0.4,14
"iccat","TAI",2.5,-57.5,1994,143280,18.2,871,0.3,9,17.6,853,0.3,9
"iccat","TAI",7.5,-57.5,1994,143280,18.7,896,0.5,24,16.9,814,1.3,58
"iccat","TAI",12.5,-57.5,1994,179100,23.3,1157,0.1,4,22.7,1135,0.5,18
"iotc","MYS",47.5,-57.5,2020,3,0.925,0,0.07,NA,0.7,NA,0.155,NA
"iotc","KOR",67.5,-57.5,1997,16.52,13.089,0,6.01,NA,0.309,NA,6.77,NA
"iccat","BRA",-52.5,-52.5,2012,1200,0,3,0,0,0,3,0,0
"iccat","BRA",-37.5,-52.5,2015,1200,0,7,0,5,0,0,0,2
"iccat","BRA",-32.5,-52.5,2012,1187,0,25,0,20,0,2,0,3
"iccat","BRA",-32.5,-52.5,2015,2250,0,30,0,16,0,9,0,5
"iccat","TAI",-22.5,-52.5,1994,35820,4.6,223,0,0,4.6,223,0,0
"iccat","TAI",-17.5,-52.5,1993,75708,7,368,0,0,7,368,0,0
"iccat","TAI",-17.5,-52.5,1994,35820,4.4,213,0,0,4.4,213,0,0
"iccat","TAI",-12.5,-52.5,1993,75708,7.6,399,0,0,7.6,399,0,0
"iccat","TAI",-12.5,-52.5,1994,35820,4.1,193,0,0,3.9,189,0.2,4
"iccat","TAI",-7.5,-52.5,1993,75708,9.1,472,0.5,21,8.4,441,0.2,10
